,Taiwanese,Greek,Gujurati,Gishu,Runyankore,French,Indonesian,Singaporean,Hindi,Br. Portuguese,Cantonese,Russian,Korean,Japanese,Turkish,Mandarin,Spanish,Vietnamese,Hebrew,German
German,0.34,0.65,0.55,0.48,0.38,0.55,0.49,0.41,0.42,0.43,0.31,0.57,0.41,0.46,0.49,0.41,0.48,0.34,0.56,0.62
Hebrew,0.37,0.58,0.51,0.51,0.47,0.54,0.43,0.4,0.43,0.49,0.37,0.53,0.42,0.46,0.46,0.4,0.5,0.37,0.55,0.56
Vietnamese,0.46,0.3,0.34,0.37,0.42,0.44,0.38,0.45,0.33,0.43,0.48,0.37,0.42,0.44,0.33,0.42,0.41,0.46,0.37,0.34
Spanish,0.42,0.51,0.46,0.48,0.47,0.52,0.4,0.42,0.37,0.5,0.39,0.48,0.42,0.48,0.43,0.4,0.49,0.41,0.5,0.48
Mandarin,0.58,0.4,0.4,0.41,0.43,0.41,0.51,0.51,0.31,0.39,0.46,0.43,0.46,0.53,0.37,0.54,0.4,0.42,0.4,0.41
Turkish,0.36,0.49,0.44,0.44,0.42,0.48,0.38,0.34,0.37,0.43,0.32,0.51,0.37,0.44,0.5,0.37,0.43,0.33,0.46,0.49
Japanese,0.59,0.44,0.46,0.5,0.52,0.49,0.47,0.53,0.35,0.47,0.48,0.49,0.52,0.6,0.44,0.53,0.48,0.44,0.46,0.46
Korean,0.5,0.39,0.39,0.38,0.41,0.43,0.45,0.44,0.31,0.42,0.46,0.4,0.49,0.52,0.37,0.46,0.42,0.42,0.42,0.41
Russian,0.39,0.6,0.46,0.47,0.47,0.51,0.45,0.38,0.39,0.45,0.34,0.63,0.4,0.49,0.51,0.43,0.48,0.37,0.53,0.57
Cantonese,0.53,0.27,0.34,0.34,0.43,0.41,0.38,0.5,0.3,0.41,0.55,0.34,0.46,0.48,0.32,0.46,0.39,0.48,0.37,0.31
Br. Portuguese,0.46,0.45,0.44,0.46,0.5,0.53,0.33,0.38,0.37,0.53,0.41,0.45,0.42,0.47,0.43,0.39,0.5,0.43,0.49,0.43
Hindi,0.29,0.41,0.59,0.46,0.44,0.41,0.38,0.37,0.5,0.37,0.3,0.39,0.31,0.35,0.37,0.31,0.37,0.33,0.43,0.42
Singaporean,0.58,0.4,0.51,0.49,0.48,0.41,0.6,N/A,0.37,0.38,0.5,0.38,0.44,0.53,0.34,0.51,0.42,0.45,0.4,0.41
Indonesian,0.45,0.55,0.48,0.42,0.39,0.38,N/A,0.6,0.38,0.33,0.38,0.45,0.45,0.47,0.38,0.51,0.4,0.38,0.43,0.49
French,0.38,0.53,0.47,0.51,0.47,N/A,0.38,0.41,0.41,0.53,0.41,0.51,0.43,0.49,0.48,0.41,0.52,0.44,0.54,0.55
Runyankore,0.51,0.4,0.51,0.68,N/A,0.47,0.39,0.48,0.44,0.5,0.43,0.47,0.41,0.52,0.42,0.43,0.47,0.42,0.47,0.38
Gishu,0.43,0.52,0.57,N/A,0.68,0.51,0.42,0.49,0.46,0.46,0.34,0.47,0.38,0.5,0.44,0.41,0.48,0.37,0.51,0.48
Gujurati,0.42,0.53,N/A,0.57,0.51,0.47,0.48,0.51,0.59,0.44,0.34,0.46,0.39,0.46,0.44,0.4,0.46,0.34,0.51,0.55
Greek,0.32,N/A,0.53,0.52,0.4,0.53,0.55,0.4,0.41,0.45,0.27,0.6,0.39,0.44,0.49,0.4,0.51,0.3,0.58,0.65
Taiwanese,N/A,0.32,0.42,0.43,0.51,0.38,0.45,0.58,0.29,0.46,0.53,0.39,0.5,0.59,0.36,0.58,0.42,0.46,0.37,0.34
